,AA,AA,AA,AA,AA,AAL,AAL,AAL,AAL,AAL,AAPL,AAPL,AAPL,AAPL,AAPL,AIG,AIG,AIG,AIG,AIG,AMAT,AMAT,AMAT,AMAT,AMAT,AMC,AMC,AMC,AMC,AMC,AMD,AMD,AMD,AMD,AMD,AMGN,AMGN,AMGN,AMGN,AMGN,AMZN,AMZN,AMZN,AMZN,AMZN,APA,APA,APA,APA,APA,BA,BA,BA,BA,BA,BABA,BABA,BABA,BABA,BABA,BAC,BAC,BAC,BAC,BAC,BBY,BBY,BBY,BBY,BBY,BIDU,BIDU,BIDU,BIDU,BIDU,BP,BP,BP,BP,BP,C,C,C,C,C,CAT,CAT,CAT,CAT,CAT,CMG,CMG,CMG,CMG,CMG,AA,AA,AAL,AAL,AAPL,AAPL,AIG,AIG,AMAT,AMAT,AMC,AMC,AMD,AMD,AMGN,AMGN,AMZN,AMZN,APA,APA,BA,BA,BABA,BABA,BAC,BAC,BBY,BBY,BIDU,BIDU,BP,BP,C,C,CAT,CAT,CMG,CMG
2021-09-03 14:50:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1918.075,1918.42,1918.075,1918.42,337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03 14:54:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1918.445,1918.445,1918.445,1918.445,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03 14:55:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1917.535,1917.54,1917.535,1917.54,4607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03 14:56:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1918.91,1918.91,1918.91,1918.91,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03 15:24:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1917.96,1918.535,1917.96,1918.535,396.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03 15:39:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919.25,1919.25,1919.25,1919.25,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03 15:42:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920.67,1920.94,1920.405,1920.405,591.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03 15:44:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919.64,1919.64,1919.64,1919.64,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03 15:49:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919.33,1919.79,1918.8,1918.8,956.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03 15:52:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1921.23,1921.23,1921.23,1921.23,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03 15:53:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920.42,1920.42,1920.42,1920.42,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03 15:55:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919.74,1920.66,1919.255,1920.66,1171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919.348,
2021-09-03 15:57:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920.57,1920.57,1920.57,1920.57,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919.539,
2021-09-03 15:59:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1921.55,1921.55,1921.55,1921.55,219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919.7095000000002,
2021-09-07 09:30:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919.5,1923.96,1919.5,1921.0,736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919.7685000000001,
2021-09-07 09:31:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1921.255,1921.255,1920.9,1920.9,649.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919.7885,
2021-09-07 09:33:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920.86,1920.86,1920.11,1920.11,455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919.7737500000003,
2021-09-07 09:34:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1918.6,1920.21,1918.6,1919.5,1342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919.75725,
2021-09-07 09:35:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1915.67,1915.67,1915.67,1915.67,218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919.55475,
2021-09-07 09:37:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1915.2,1915.2,1915.2,1915.2,302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919.33775,
2021-09-07 09:39:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914.075,1914.075,1914.075,1914.075,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919.1204999999998,
2021-09-07 09:40:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914.295,1916.52,1914.295,1915.98,943.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1918.99725,
2021-09-07 09:45:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914.98,1914.98,1913.27,1914.51,442.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1918.84575,
2021-09-07 09:46:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914.93,1914.93,1914.82,1914.82,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1918.64125,
2021-09-07 09:47:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914.31,1914.31,1912.85,1913.965,1147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1918.4127499999995,
2021-09-07 09:48:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1908.8,1908.8,1908.8,1908.8,310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1917.8902499999997,
2021-09-07 09:49:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911.79,1912.15,1911.79,1912.15,393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1917.4774999999997,
2021-09-07 09:50:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911.92,1911.92,1911.92,1911.92,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1917.0914999999998,
2021-09-07 09:51:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1910.47,1910.47,1910.47,1910.47,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916.6749999999997,
2021-09-07 09:52:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1909.0,1909.75,1907.53,1907.59,613.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1915.9929999999993,
2021-09-07 09:53:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1909.75,1909.75,1907.24,1907.24,1462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1915.3339999999994,
2021-09-07 09:55:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1907.25,1907.25,1907.25,1907.25,239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914.6634999999992,
2021-09-07 09:56:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1910.93,1913.1,1910.93,1913.1,235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914.289999999999,
2021-09-07 10:02:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912.425,1912.425,1910.37,1910.37,221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1913.730999999999,
2021-09-07 10:04:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1908.01,1908.01,1908.01,1908.01,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1913.081499999999,
2021-09-07 10:05:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1908.125,1908.125,1908.125,1908.125,255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912.442749999999,
2021-09-07 10:06:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1906.88,1907.595,1906.745,1906.745,346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911.774499999999,
2021-09-07 10:07:00-04:00,,,,,,,,,,,,,,,,55.52,55.55,55.52,55.55,510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1906.82,1906.82,1906.82,1906.82,567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911.140499999999,
2021-09-07 10:08:00-04:00,,,,,,,,,,,,,,,,55.495,55.495,55.495,55.495,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1906.92,1906.92,1906.92,1906.92,229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1910.702999999999,
2021-09-07 10:09:00-04:00,,,,,,,,,,,,,,,,55.505,55.505,55.49,55.49,554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1908.1,1908.25,1908.1,1908.25,560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1910.3554999999992,
2021-09-07 10:10:00-04:00,,,,,,,,,,,,,,,,55.39,55.39,55.39,55.39,275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-07 10:11:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1909.89,1909.89,1909.89,1909.89,213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-07 10:12:00-04:00,,,,,,,,,,,,,,,,55.51,55.52,55.51,55.51,1710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-07 10:13:00-04:00,,,,,,,,,,,,,,,,55.49,55.49,55.485,55.485,480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-07 10:14:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3505.09,3505.09,3505.09,3505.09,395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1909.29,1909.88,1909.26,1909.845,944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-07 10:16:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3501.725,3501.725,3501.725,3501.725,522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-07 10:18:00-04:00,,,,,,,,,,,,,,,,55.505,55.505,55.505,55.505,244.0,,,,,,,,,,,,,,,,,,,,,3503.08,3503.08,3503.08,3503.08,313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-07 10:19:00-04:00,,,,,,,,,,,,,,,,55.51,55.51,55.51,55.51,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1906.51,1906.51,1906.51,1906.51,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-07 10:20:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3498.0,3498.0,3498.0,3498.0,284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-07 10:21:00-04:00,,,,,,,,,,,,,,,,55.525,55.525,55.52,55.52,1240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-07 10:23:00-04:00,,,,,,,,,,,,,,,,55.42,55.42,55.42,55.42,282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1910.63,1910.69,1910.63,1910.69,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-07 10:24:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.595,19.605,19.565,19.565,1113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-07 10:25:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3504.15,3504.15,3504.15,3504.15,197.0,19.56,19.575,19.55,19.55,1521.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-07 10:26:00-04:00,,,,,,,,,,,,,,,,55.4,55.4,55.4,55.4,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,19.555,19.555,19.555,19.555,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-07 10:27:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.525,19.525,19.525,19.525,1214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-07 10:28:00-04:00,,,,,,,,,,,,,,,,55.43,55.43,55.43,55.43,189.0,,,,,,,,,,,,,,,,,,,,,3504.585,3504.585,3504.585,3504.585,330.0,19.505,19.51,19.495,19.495,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.42,209.42,209.24,209.24,676.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-07 10:29:00-04:00,,,,,,,,,,,,,,,,55.46,55.46,55.415,55.42,1074.0,,,,,,,,,,,,,,,,,,,,,3506.72,3506.72,3506.72,3506.72,272.0,19.475,19.485,19.46,19.46,832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.94,208.94,208.94,208.94,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-07 10:30:00-04:00,,,,,,,,,,,,,,,,55.42,55.42,55.39,55.39,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,19.47,19.47,19.425,19.425,640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.68,208.68,208.59,208.59,282.0,1906.96,1906.96,1906.375,1906.82,424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-07 10:31:00-04:00,,,,,,,,,,,,,,,,55.355,55.37,55.355,55.37,825.0,,,,,,,,,,,,,,,,,,,,,3508.47,3508.47,3508.47,3508.47,313.0,19.41,19.41,19.41,19.41,530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.58,208.71,208.55,208.56,617.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-07 10:32:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3509.96,3512.08,3509.96,3510.14,1299.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.4,208.4,208.21,208.235,401.0,1907.68,1907.7,1907.68,1907.7,798.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-07 10:33:00-04:00,,,,,,,,,,,,,,,,55.36,55.36,55.36,55.36,193.0,,,,,,,,,,,,,,,,,,,,,3510.83,3512.53,3510.83,3512.53,797.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.31,208.32,208.27,208.27,321.0,1908.88,1910.0,1908.88,1910.0,268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
